210,18,213,21
159,21,159,21
207,21,210,24
210,21,213,24
171,24,171,24
174,24,174,24
177,24,177,24
204,24,204,24
207,24,207,24
219,27,222,30
222,27,222,27
129,30,129,30
132,30,132,30
135,30,135,30
186,30,186,30
189,30,189,30
192,30,192,30
219,30,219,30
120,33,120,33
123,33,123,33
228,33,237,42
225,36,225,36
228,36,228,36
135,39,135,39
237,39,240,42
129,42,129,42
132,42,132,42
231,42,234,45
156,45,156,45
144,48,144,48
156,48,156,48
243,48,243,48
117,51,120,54
120,51,123,54
123,51,126,54
126,51,126,51
129,51,129,51
132,51,132,51
153,51,153,51
210,51,222,63
213,51,216,54
117,54,117,54
192,54,192,54
210,54,219,63
138,57,138,57
210,57,216,63
225,57,231,63
111,60,111,60
132,60,132,60
135,60,135,60
201,60,210,69
210,60,216,66
231,60,231,60
108,63,108,63
132,63,132,63
198,63,204,69
201,63,207,69
207,63,210,66
210,63,213,66
225,63,225,63
228,63,231,66
264,63,273,72
84,66,84,66
129,66,129,66
192,66,201,75
195,66,204,75
198,66,201,69
108,69,108,69
123,69,123,69
126,69,126,69
189,69,198,78
192,69,201,78
225,69,225,69
231,69,234,72
267,69,267,69
273,69,276,72
276,69,276,69
279,69,279,69
117,72,120,75
120,72,120,72
123,72,123,72
189,72,195,78
231,72,237,78
297,72,309,84
90,75,90,75
114,75,117,78
117,75,117,75
183,75,192,84
186,75,192,81
189,75,192,78
219,75,219,75
222,75,222,75
231,75,237,81
285,75,285,75
297,75,306,84
111,78,111,78
114,78,114,78
180,78,189,87
183,78,192,87
231,78,234,81
255,78,255,78
282,78,282,78
285,78,297,90
297,78,303,84
63,81,63,81
99,81,114,96
102,81,117,96
129,81,135,87
132,81,135,84
180,81,183,84
273,81,354,162
276,81,354,159
291,81,297,87
294,81,300,87
297,81,300,84
54,84,54,84
57,84,57,84
60,84,60,84
90,84,111,105
93,84,111,102
96,84,111,99
99,84,114,99
129,84,132,87
273,84,354,165
288,84,297,93
69,87,69,87
72,87,75,90
75,87,102,114
78,87,105,114
81,87,105,111
84,87,108,111
87,87,108,108
90,87,111,108
111,87,117,93
114,87,117,90
117,87,117,87
120,87,120,87
123,87,123,87
126,87,129,90
129,87,129,87
141,87,141,87
144,87,144,87
147,87,147,87
237,87,243,93
240,87,249,96
246,87,258,99
249,87,252,90
285,87,354,156
51,90,93,132
54,90,96,132
63,90,66,93
66,90,69,93
69,90,69,90
237,90,237,90
246,90,258,102
255,90,255,90
258,90,258,90
273,90,357,174
276,90,354,168
291,90,354,153
309,90,342,123
51,93,60,102
60,93,63,96
63,93,66,96
138,93,138,93
141,93,141,93
165,93,165,93
168,93,168,93
180,93,180,93
273,93,354,174
315,93,339,117
48,96,90,138
51,96,93,138
78,96,102,120
159,96,162,99
162,96,162,96
165,96,165,96
177,96,177,96
180,96,180,96
258,96,258,96
321,96,333,108
48,99,90,141
72,99,81,108
75,99,84,108
78,99,102,123
84,99,102,117
159,99,159,99
276,99,351,174
309,99,351,141
312,99,348,135
315,99,348,132
45,102,87,144
48,102,90,144
69,102,96,129
72,102,96,126
120,102,123,105
123,102,126,105
126,102,126,102
306,102,354,150
309,102,354,147
45,105,87,147
117,105,120,108
120,105,123,108
168,105,171,108
270,105,273,108
45,108,87,150
66,108,93,135
117,108,120,111
270,108,276,114
42,111,102,171
45,111,99,165
117,111,120,114
285,111,351,177
42,114,111,183
87,114,99,126
90,114,99,123
117,114,129,126
42,117,111,186
147,117,147,117
39,120,111,192
42,120,111,189
120,120,126,126
291,120,297,126
39,123,111,195
129,123,132,126
132,123,135,126
135,123,135,123
291,123,300,132
39,126,108,195
123,126,123,126
39,129,108,198
294,129,300,135
39,132,114,207
294,132,300,138
39,135,177,273
39,138,174,273
291,138,294,141
309,138,351,180
39,141,171,273
291,141,294,144
297,141,297,141
36,144,162,270
39,144,165,270
36,147,111,222
294,147,294,147
315,147,348,180
36,150,108,222
33,153,144,264
36,153,108,225
318,153,348,183
33,156,138,261
318,156,348,186
33,159,135,261
318,159,345,186
33,162,129,258
33,165,117,249
318,165,345,192
321,165,345,189
33,168,111,246
318,168,342,192
33,171,102,240
33,174,99,240
321,174,342,195
33,177,93,237
321,177,342,198
33,180,96,243
33,183,96,246
324,183,339,198
33,186,96,249
324,186,339,201
33,189,93,249
324,189,339,204
33,192,90,249
33,195,90,252
327,195,336,204
33,198,87,252
327,198,336,207
33,201,84,252
324,201,336,213
327,201,336,210
33,204,84,255
